	ID	GENE	ACC	Name	TMD	Start	End	TM protein	SIGNALp	MUT	Size	N-terminus	signalp_TM	signalp_noTM	Highlight
4907	GRIK4_HUMAN	GRIK4	Q16099	GRIK4_HUMAN_TRANSMEM1	TRANSMEM1	546	566	YES	1	0	5	Extracellular	0.341	0.431	NO
4908	GRIK4_HUMAN	GRIK4	Q16099	GRIK4_HUMAN_TRANSMEM2	TRANSMEM2	624	644	YES	1	0	5	Cytoplasmic	0.455	0.629	YES
4909	GRIK4_HUMAN	GRIK4	Q16099	GRIK4_HUMAN_TRANSMEM3	TRANSMEM3	805	825	YES	1	0	5	Extracellular	0.409	0.749	YES
4910	GRIK5_HUMAN	GRIK5	Q16478	GRIK5_HUMAN_TRANSMEM1	TRANSMEM1	545	565	YES	1	0	5	Extracellular	0.375	0.517	YES
4911	GRIK5_HUMAN	GRIK5	Q16478	GRIK5_HUMAN_TRANSMEM2	TRANSMEM2	623	643	YES	1	0	5	Cytoplasmic	0.462	0.631	YES
4912	GRIK5_HUMAN	GRIK5	Q16478	GRIK5_HUMAN_TRANSMEM3	TRANSMEM3	804	824	YES	1	0	5	Extracellular	0.216	0.443	NO
4913	GRM1_HUMAN	GRM1	Q13255	GRM1_HUMAN_TRANSMEM1	TRANSMEM1	593	615	YES	1	3	5	Extracellular	0.179	0.481	NO
4914	GRM1_HUMAN	GRM1	Q13255	GRM1_HUMAN_TRANSMEM2	TRANSMEM2	630	650	YES	1	3	5	Cytoplasmic	0.309	0.547	YES
4915	GRM1_HUMAN	GRM1	Q13255	GRM1_HUMAN_TRANSMEM3	TRANSMEM3	659	680	YES	1	3	5	Extracellular	0.2	0.236	NO
4916	GRM1_HUMAN	GRM1	Q13255	GRM1_HUMAN_TRANSMEM4	TRANSMEM4	704	727	YES	1	3	5	Cytoplasmic	0.327	0.554	YES
4917	GRM1_HUMAN	GRM1	Q13255	GRM1_HUMAN_TRANSMEM5	TRANSMEM5	751	772	YES	1	3	5	Extracellular	0.166	0.182	NO
4918	GRM1_HUMAN	GRM1	Q13255	GRM1_HUMAN_TRANSMEM6	TRANSMEM6	786	807	YES	1	3	5	Cytoplasmic	0.204	0.399	NO
4919	GRM1_HUMAN	GRM1	Q13255	GRM1_HUMAN_TRANSMEM7	TRANSMEM7	816	840	YES	1	3	5	Extracellular	0.225	0.274	NO
4920	GRM2A_HUMAN	GRAMD2A	Q8IUY3	GRM2A_HUMAN_TRANSMEM1	TRANSMEM1	312	332	YES	0	0	5	Other	0.111	0.448	NO
4921	GRM2_HUMAN	GRM2	Q14416	GRM2_HUMAN_TRANSMEM1	TRANSMEM1	568	590	YES	1	0	5	Extracellular	0.298	0.497	NO
4922	GRM2_HUMAN	GRM2	Q14416	GRM2_HUMAN_TRANSMEM2	TRANSMEM2	605	625	YES	1	0	5	Cytoplasmic	0.355	0.661	YES
4923	GRM2_HUMAN	GRM2	Q14416	GRM2_HUMAN_TRANSMEM3	TRANSMEM3	637	655	YES	1	0	5	Extracellular	0.154	0.241	NO
4924	GRM2_HUMAN	GRM2	Q14416	GRM2_HUMAN_TRANSMEM4	TRANSMEM4	680	700	YES	1	0	5	Cytoplasmic	0.416	0.537	YES
4925	GRM2_HUMAN	GRM2	Q14416	GRM2_HUMAN_TRANSMEM5	TRANSMEM5	726	747	YES	1	0	5	Extracellular	0.389	0.434	NO
4926	GRM2_HUMAN	GRM2	Q14416	GRM2_HUMAN_TRANSMEM6	TRANSMEM6	761	783	YES	1	0	5	Cytoplasmic	0.441	0.639	YES
4927	GRM2_HUMAN	GRM2	Q14416	GRM2_HUMAN_TRANSMEM7	TRANSMEM7	794	819	YES	1	0	5	Extracellular	0.22	0.244	NO
4928	GRM3_HUMAN	GRM3	Q14832	GRM3_HUMAN_TRANSMEM1	TRANSMEM1	577	599	YES	1	0	5	Extracellular	0.235	0.327	NO
4929	GRM3_HUMAN	GRM3	Q14832	GRM3_HUMAN_TRANSMEM2	TRANSMEM2	614	634	YES	1	0	5	Cytoplasmic	0.259	0.521	YES
4930	GRM3_HUMAN	GRM3	Q14832	GRM3_HUMAN_TRANSMEM3	TRANSMEM3	646	664	YES	1	0	5	Extracellular	0.205	0.221	NO
4931	GRM3_HUMAN	GRM3	Q14832	GRM3_HUMAN_TRANSMEM4	TRANSMEM4	689	709	YES	1	0	5	Cytoplasmic	0.275	0.446	NO
4932	GRM3_HUMAN	GRM3	Q14832	GRM3_HUMAN_TRANSMEM5	TRANSMEM5	735	756	YES	1	0	5	Extracellular	0.584	0.726	NO
4933	GRM3_HUMAN	GRM3	Q14832	GRM3_HUMAN_TRANSMEM6	TRANSMEM6	770	792	YES	1	0	5	Cytoplasmic	0.434	0.64	YES
4934	GRM3_HUMAN	GRM3	Q14832	GRM3_HUMAN_TRANSMEM7	TRANSMEM7	803	828	YES	1	0	5	Extracellular	0.308	0.454	NO
4935	GRM4_HUMAN	GRM4	Q14833	GRM4_HUMAN_TRANSMEM1	TRANSMEM1	588	610	YES	1	0	5	Extracellular	0.171	0.425	NO
4936	GRM4_HUMAN	GRM4	Q14833	GRM4_HUMAN_TRANSMEM2	TRANSMEM2	625	645	YES	1	0	5	Cytoplasmic	0.282	0.421	NO
4937	GRM4_HUMAN	GRM4	Q14833	GRM4_HUMAN_TRANSMEM3	TRANSMEM3	657	675	YES	1	0	5	Extracellular	0.173	0.209	NO
4938	GRM4_HUMAN	GRM4	Q14833	GRM4_HUMAN_TRANSMEM4	TRANSMEM4	700	720	YES	1	0	5	Cytoplasmic	0.409	0.499	NO
4939	GRM4_HUMAN	GRM4	Q14833	GRM4_HUMAN_TRANSMEM5	TRANSMEM5	751	772	YES	1	0	5	Extracellular	0.666	0.816	NO
4940	GRM4_HUMAN	GRM4	Q14833	GRM4_HUMAN_TRANSMEM6	TRANSMEM6	786	808	YES	1	0	5	Cytoplasmic	0.519	0.688	YES
4941	GRM4_HUMAN	GRM4	Q14833	GRM4_HUMAN_TRANSMEM7	TRANSMEM7	822	847	YES	1	0	5	Extracellular	0.187	0.201	NO
4942	GRM5_HUMAN	GRM5	P41594	GRM5_HUMAN_TRANSMEM1	TRANSMEM1	581	603	YES	1	0	5	Extracellular	0.207	0.449	NO
4943	GRM5_HUMAN	GRM5	P41594	GRM5_HUMAN_TRANSMEM2	TRANSMEM2	614	636	YES	1	0	5	Cytoplasmic	0.197	0.392	NO
4944	GRM5_HUMAN	GRM5	P41594	GRM5_HUMAN_TRANSMEM3	TRANSMEM3	645	667	YES	1	0	5	Extracellular	0.129	0.26	NO
4945	GRM5_HUMAN	GRM5	P41594	GRM5_HUMAN_TRANSMEM4	TRANSMEM4	694	714	YES	1	0	5	Cytoplasmic	0.486	0.716	YES
4946	GRM5_HUMAN	GRM5	P41594	GRM5_HUMAN_TRANSMEM5	TRANSMEM5	738	759	YES	1	0	5	Extracellular	0.19	0.221	NO
4947	GRM5_HUMAN	GRM5	P41594	GRM5_HUMAN_TRANSMEM6	TRANSMEM6	773	795	YES	1	0	5	Cytoplasmic	0.195	0.395	NO
4948	GRM5_HUMAN	GRM5	P41594	GRM5_HUMAN_TRANSMEM7	TRANSMEM7	799	820	YES	1	0	5	Extracellular	0.295	0.37	NO
4949	GRM6_HUMAN	GRM6	O15303	GRM6_HUMAN_TRANSMEM1	TRANSMEM1	586	608	YES	1	6	5	Extracellular	0.428	0.676	YES
4950	GRM6_HUMAN	GRM6	O15303	GRM6_HUMAN_TRANSMEM2	TRANSMEM2	623	643	YES	1	6	5	Cytoplasmic	0.346	0.547	YES
4951	GRM6_HUMAN	GRM6	O15303	GRM6_HUMAN_TRANSMEM3	TRANSMEM3	655	673	YES	1	6	5	Extracellular	0.171	0.204	NO
4952	GRM6_HUMAN	GRM6	O15303	GRM6_HUMAN_TRANSMEM4	TRANSMEM4	698	718	YES	1	6	5	Cytoplasmic	0.276	0.332	NO
4953	GRM6_HUMAN	GRM6	O15303	GRM6_HUMAN_TRANSMEM5	TRANSMEM5	749	770	YES	1	6	5	Extracellular	0.602	0.705	NO
4954	GRM6_HUMAN	GRM6	O15303	GRM6_HUMAN_TRANSMEM6	TRANSMEM6	784	806	YES	1	6	5	Cytoplasmic	0.581	0.773	NO
4955	GRM6_HUMAN	GRM6	O15303	GRM6_HUMAN_TRANSMEM7	TRANSMEM7	820	845	YES	1	6	5	Extracellular	0.167	0.21	NO
4956	GRM7_HUMAN	GRM7	Q14831	GRM7_HUMAN_TRANSMEM1	TRANSMEM1	591	615	YES	1	0	5	Extracellular	0.218	0.61	YES
4957	GRM7_HUMAN	GRM7	Q14831	GRM7_HUMAN_TRANSMEM2	TRANSMEM2	628	648	YES	1	0	5	Cytoplasmic	0.232	0.494	NO
4958	GRM7_HUMAN	GRM7	Q14831	GRM7_HUMAN_TRANSMEM3	TRANSMEM3	655	675	YES	1	0	5	Extracellular	0.218	0.331	NO
4959	GRM7_HUMAN	GRM7	Q14831	GRM7_HUMAN_TRANSMEM4	TRANSMEM4	703	723	YES	1	0	5	Cytoplasmic	0.245	0.314	NO
4960	GRM7_HUMAN	GRM7	Q14831	GRM7_HUMAN_TRANSMEM5	TRANSMEM5	754	775	YES	1	0	5	Extracellular	0.546	0.718	YES
4961	GRM7_HUMAN	GRM7	Q14831	GRM7_HUMAN_TRANSMEM6	TRANSMEM6	789	810	YES	1	0	5	Cytoplasmic	0.586	0.776	NO
4962	GRM7_HUMAN	GRM7	Q14831	GRM7_HUMAN_TRANSMEM7	TRANSMEM7	826	850	YES	1	0	5	Extracellular	0.2	0.219	NO
4963	GRM8_HUMAN	GRM8	O00222	GRM8_HUMAN_TRANSMEM1	TRANSMEM1	584	608	YES	1	0	5	Extracellular	0.137	0.42	NO
4964	GRM8_HUMAN	GRM8	O00222	GRM8_HUMAN_TRANSMEM2	TRANSMEM2	621	641	YES	1	0	5	Cytoplasmic	0.206	0.397	NO
4965	GRM8_HUMAN	GRM8	O00222	GRM8_HUMAN_TRANSMEM3	TRANSMEM3	648	668	YES	1	0	5	Extracellular	0.238	0.346	NO
4966	GRM8_HUMAN	GRM8	O00222	GRM8_HUMAN_TRANSMEM4	TRANSMEM4	696	716	YES	1	0	5	Cytoplasmic	0.236	0.324	NO
4967	GRM8_HUMAN	GRM8	O00222	GRM8_HUMAN_TRANSMEM5	TRANSMEM5	747	768	YES	1	0	5	Extracellular	0.58	0.744	NO
4968	GRM8_HUMAN	GRM8	O00222	GRM8_HUMAN_TRANSMEM6	TRANSMEM6	782	803	YES	1	0	5	Cytoplasmic	0.622	0.807	NO
4969	GRM8_HUMAN	GRM8	O00222	GRM8_HUMAN_TRANSMEM7	TRANSMEM7	819	843	YES	1	0	5	Extracellular	0.181	0.203	NO
4970	GRPL2_HUMAN	GLIPR1L2	Q4G1C9	GRPL2_HUMAN_TRANSMEM1	TRANSMEM1	254	274	YES	0	0	5	Other	0.38	0.648	YES
4971	GRPR_HUMAN	GRPR	P30550	GRPR_HUMAN_TRANSMEM2	TRANSMEM2	77	96	YES	0	0	5	Cytoplasmic	0.725	0.835	NO
4972	GRPR_HUMAN	GRPR	P30550	GRPR_HUMAN_TRANSMEM3	TRANSMEM3	115	136	YES	0	0	5	Extracellular	0.206	0.283	NO
4973	GRPR_HUMAN	GRPR	P30550	GRPR_HUMAN_TRANSMEM4	TRANSMEM4	153	174	YES	0	0	5	Cytoplasmic	0.569	0.655	NO
4974	GRPR_HUMAN	GRPR	P30550	GRPR_HUMAN_TRANSMEM5	TRANSMEM5	209	234	YES	0	0	5	Extracellular	0.186	0.348	NO
4975	GRPR_HUMAN	GRPR	P30550	GRPR_HUMAN_TRANSMEM6	TRANSMEM6	265	285	YES	0	0	5	Cytoplasmic	0.21	0.35	NO
4976	GRPR_HUMAN	GRPR	P30550	GRPR_HUMAN_TRANSMEM7	TRANSMEM7	299	325	YES	0	0	5	Extracellular	0.282	0.302	NO
4977	GS1L2_HUMAN	GSG1L2	A8MUP6	GS1L2_HUMAN_TRANSMEM2	TRANSMEM2	121	141	YES	0	0	5	Extracellular	0.181	0.335	NO
4978	GS1L2_HUMAN	GSG1L2	A8MUP6	GS1L2_HUMAN_TRANSMEM3	TRANSMEM3	161	181	YES	0	0	5	Cytoplasmic	0.321	0.48	NO
4979	GS1L2_HUMAN	GSG1L2	A8MUP6	GS1L2_HUMAN_TRANSMEM4	TRANSMEM4	205	225	YES	0	0	5	Extracellular	0.621	0.776	NO
4980	GSDMA_HUMAN	GSDMA	Q96QA5	GSDMA_HUMAN_TRANSMEM1	TRANSMEM1	78	95	YES	0	0	5	Other	0.106	0.107	NO
4981	GSDMA_HUMAN	GSDMA	Q96QA5	GSDMA_HUMAN_TRANSMEM2	TRANSMEM2	99	120	YES	0	0	5	Other	0.11	0.108	NO
4982	GSDMA_HUMAN	GSDMA	Q96QA5	GSDMA_HUMAN_TRANSMEM3	TRANSMEM3	163	179	YES	0	0	5	Other	0.161	0.154	NO
4983	GSDMA_HUMAN	GSDMA	Q96QA5	GSDMA_HUMAN_TRANSMEM4	TRANSMEM4	183	197	YES	0	0	5	Other	0.122	0.119	NO
4984	GSG1L_HUMAN	GSG1L	Q6UXU4	GSG1L_HUMAN_TRANSMEM2	TRANSMEM2	133	153	YES	0	0	5	Extracellular	0.184	0.583	YES
4985	GSG1L_HUMAN	GSG1L	Q6UXU4	GSG1L_HUMAN_TRANSMEM3	TRANSMEM3	174	194	YES	0	0	5	Cytoplasmic	0.313	0.39	NO
4986	GSG1L_HUMAN	GSG1L	Q6UXU4	GSG1L_HUMAN_TRANSMEM4	TRANSMEM4	218	238	YES	0	0	5	Extracellular	0.379	0.456	NO
4987	GSG1_HUMAN	GSG1	Q2KHT4	GSG1_HUMAN_TRANSMEM2	TRANSMEM2	158	178	YES	0	0	5	Other	0.449	0.633	YES
4988	GSG1_HUMAN	GSG1	Q2KHT4	GSG1_HUMAN_TRANSMEM3	TRANSMEM3	189	209	YES	0	0	5	Other	0.296	0.351	NO
4989	GSG1_HUMAN	GSG1	Q2KHT4	GSG1_HUMAN_TRANSMEM4	TRANSMEM4	233	253	YES	0	0	5	Other	0.723	0.802	NO
4990	GSLG1_HUMAN	GLG1	Q92896	GSLG1_HUMAN_TRANSMEM1	TRANSMEM1	1146	1166	YES	1	0	5	Extracellular	0.128	0.188	NO
4991	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM2	TRANSMEM2	49	69	YES	0	8	5	Extracellular	0.423	0.704	YES
4992	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM3	TRANSMEM3	78	98	YES	0	8	5	Cytoplasmic	0.277	0.532	YES
4993	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM4	TRANSMEM4	107	127	YES	0	8	5	Extracellular	0.22	0.255	NO
4994	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM5	TRANSMEM5	135	155	YES	0	8	5	Cytoplasmic	0.284	0.488	NO
4995	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM6	TRANSMEM6	167	187	YES	0	8	5	Extracellular	0.366	0.388	NO
4996	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM7	TRANSMEM7	234	254	YES	0	8	5	Cytoplasmic	0.211	0.21	NO
4997	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM8	TRANSMEM8	270	290	YES	0	8	5	Extracellular	0.2	0.355	NO
4998	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM9	TRANSMEM9	299	319	YES	0	8	5	Cytoplasmic	0.38	0.433	NO
4999	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM10	TRANSMEM10	415	435	YES	0	8	5	Extracellular	0.274	0.429	NO
5000	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM11	TRANSMEM11	446	466	YES	0	8	5	Cytoplasmic	0.222	0.413	NO
5001	GTR10_HUMAN	SLC2A10	O95528	GTR10_HUMAN_TRANSMEM12	TRANSMEM12	477	497	YES	0	8	5	Extracellular	0.319	0.727	YES
5002	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM2	TRANSMEM2	62	82	YES	0	0	5	Extracellular	0.218	0.504	YES
5003	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM3	TRANSMEM3	98	118	YES	0	0	5	Cytoplasmic	0.346	0.514	YES
5004	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM4	TRANSMEM4	129	149	YES	0	0	5	Extracellular	0.14	0.178	NO
5005	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM5	TRANSMEM5	158	178	YES	0	0	5	Cytoplasmic	0.342	0.424	NO
5006	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM6	TRANSMEM6	188	208	YES	0	0	5	Extracellular	0.365	0.346	NO
5007	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM7	TRANSMEM7	274	294	YES	0	0	5	Cytoplasmic	0.221	0.226	NO
5008	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM8	TRANSMEM8	312	332	YES	0	0	5	Extracellular	0.172	0.229	NO
5009	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM9	TRANSMEM9	339	359	YES	0	0	5	Cytoplasmic	0.227	0.411	NO
5010	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM10	TRANSMEM10	365	385	YES	0	0	5	Extracellular	0.431	0.698	YES
5011	GTR11_HUMAN	SLC2A11	Q9BYW1	GTR11_HUMAN_TRANSMEM11	TRANSMEM11	409	429	YES	0	0	5	Cytoplasmic	0.453	0.819	YES
5012	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM2	TRANSMEM2	81	101	YES	0	0	5	Extracellular	0.351	0.578	YES
5013	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM3	TRANSMEM3	116	136	YES	0	0	5	Cytoplasmic	0.184	0.411	NO
5014	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM4	TRANSMEM4	138	158	YES	0	0	5	Extracellular	0.207	0.262	NO
5015	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM5	TRANSMEM5	173	193	YES	0	0	5	Cytoplasmic	0.326	0.505	YES
5016	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM6	TRANSMEM6	198	218	YES	0	0	5	Extracellular	0.253	0.34	NO
5017	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM7	TRANSMEM7	279	299	YES	0	0	5	Cytoplasmic	0.308	0.379	NO
5018	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM8	TRANSMEM8	318	338	YES	0	0	5	Extracellular	0.177	0.2	NO
5019	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM9	TRANSMEM9	346	366	YES	0	0	5	Cytoplasmic	0.252	0.279	NO
5020	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM10	TRANSMEM10	467	487	YES	0	0	5	Extracellular	0.318	0.424	NO
5021	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM11	TRANSMEM11	499	519	YES	0	0	5	Cytoplasmic	0.237	0.45	NO
5022	GTR12_HUMAN	SLC2A12	Q8TD20	GTR12_HUMAN_TRANSMEM12	TRANSMEM12	529	549	YES	0	0	5	Extracellular	0.667	0.783	NO
5023	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM2	TRANSMEM2	89	109	YES	0	0	5	Extracellular	0.159	0.221	NO
5024	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM3	TRANSMEM3	118	138	YES	0	0	5	Cytoplasmic	0.329	0.454	NO
5025	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM4	TRANSMEM4	149	169	YES	0	0	5	Extracellular	0.254	0.356	NO
5026	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM5	TRANSMEM5	178	198	YES	0	0	5	Cytoplasmic	0.245	0.509	YES
5027	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM6	TRANSMEM6	208	228	YES	0	0	5	Extracellular	0.516	0.546	YES
5028	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM7	TRANSMEM7	294	314	YES	0	0	5	Cytoplasmic	0.315	0.34	NO
5029	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM8	TRANSMEM8	329	349	YES	0	0	5	Extracellular	0.212	0.31	NO
5030	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM9	TRANSMEM9	359	379	YES	0	0	5	Cytoplasmic	0.266	0.361	NO
5031	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM10	TRANSMEM10	393	413	YES	0	0	5	Extracellular	0.193	0.184	NO
5032	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM11	TRANSMEM11	424	444	YES	0	0	5	Cytoplasmic	0.203	0.396	NO
5033	GTR14_HUMAN	SLC2A14	Q8TDB8	GTR14_HUMAN_TRANSMEM12	TRANSMEM12	452	472	YES	0	0	5	Extracellular	0.392	0.631	YES
5034	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM2	TRANSMEM2	67	87	YES	0	52	5	Extracellular	0.153	0.317	NO
5035	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM3	TRANSMEM3	91	112	YES	0	52	5	Cytoplasmic	0.41	0.569	YES
5036	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM4	TRANSMEM4	121	144	YES	0	52	5	Extracellular	0.354	0.619	YES
5037	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM5	TRANSMEM5	156	176	YES	0	52	5	Cytoplasmic	0.402	0.608	YES
5038	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM6	TRANSMEM6	186	206	YES	0	52	5	Extracellular	0.431	0.478	NO
5039	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM7	TRANSMEM7	272	293	YES	0	52	5	Cytoplasmic	0.393	0.419	NO
5040	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM8	TRANSMEM8	307	328	YES	0	52	5	Extracellular	0.154	0.256	NO
5041	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM9	TRANSMEM9	335	355	YES	0	52	5	Cytoplasmic	0.252	0.556	YES
5042	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM10	TRANSMEM10	366	388	YES	0	52	5	Extracellular	0.234	0.295	NO
5043	GTR1_HUMAN	SLC2A1	P11166	GTR1_HUMAN_TRANSMEM11	TRANSMEM11	402	422	YES	0	52	5	Cytoplasmic	0.26	0.386	NO
5044	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM2	TRANSMEM2	99	119	YES	0	4	5	Extracellular	0.199	0.267	NO
5045	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM3	TRANSMEM3	128	148	YES	0	4	5	Cytoplasmic	0.265	0.335	NO
5046	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM4	TRANSMEM4	159	179	YES	0	4	5	Extracellular	0.18	0.182	NO
5047	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM5	TRANSMEM5	188	208	YES	0	4	5	Cytoplasmic	0.206	0.406	NO
5048	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM6	TRANSMEM6	218	238	YES	0	4	5	Extracellular	0.287	0.339	NO
5049	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM7	TRANSMEM7	304	324	YES	0	4	5	Cytoplasmic	0.304	0.324	NO
5050	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM8	TRANSMEM8	339	359	YES	0	4	5	Extracellular	0.164	0.23	NO
5051	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM9	TRANSMEM9	369	389	YES	0	4	5	Cytoplasmic	0.208	0.483	NO
5052	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM10	TRANSMEM10	401	421	YES	0	4	5	Extracellular	0.238	0.271	NO
5053	GTR2_HUMAN	SLC2A2	P11168	GTR2_HUMAN_TRANSMEM11	TRANSMEM11	434	454	YES	0	4	5	Cytoplasmic	0.316	0.451	NO
5054	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM2	TRANSMEM2	65	85	YES	0	0	5	Extracellular	0.16	0.22	NO
5055	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM3	TRANSMEM3	91	111	YES	0	0	5	Cytoplasmic	0.3	0.416	NO
5056	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM4	TRANSMEM4	119	142	YES	0	0	5	Extracellular	0.516	0.809	YES
5057	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM5	TRANSMEM5	154	174	YES	0	0	5	Cytoplasmic	0.216	0.449	NO
5058	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM6	TRANSMEM6	184	204	YES	0	0	5	Extracellular	0.553	0.616	NO
5059	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM7	TRANSMEM7	270	290	YES	0	0	5	Cytoplasmic	0.322	0.34	NO
5060	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM8	TRANSMEM8	305	325	YES	0	0	5	Extracellular	0.179	0.257	NO
5061	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM9	TRANSMEM9	332	352	YES	0	0	5	Cytoplasmic	0.263	0.314	NO
5062	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM10	TRANSMEM10	364	389	YES	0	0	5	Extracellular	0.243	0.319	NO
5063	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM11	TRANSMEM11	400	420	YES	0	0	5	Cytoplasmic	0.209	0.461	NO
5064	GTR3_HUMAN	SLC2A3	P11169	GTR3_HUMAN_TRANSMEM12	TRANSMEM12	430	450	YES	0	0	5	Extracellular	0.391	0.63	YES
5065	GTR5_HUMAN	SLC2A5	P22732	GTR5_HUMAN_TRANSMEM2	TRANSMEM2	69	91	YES	0	0	5	Extracellular	0.194	0.286	NO
5066	GTR5_HUMAN	SLC2A5	P22732	GTR5_HUMAN_TRANSMEM3	TRANSMEM3	99	119	YES	0	0	5	Cytoplasmic	0.306	0.461	NO
5067	GTR5_HUMAN	SLC2A5	P22732	GTR5_HUMAN_TRANSMEM4	TRANSMEM4	127	149	YES	0	0	5	Extracellular	0.385	0.496	NO
5068	GTR5_HUMAN	SLC2A5	P22732	GTR5_HUMAN_TRANSMEM5	TRANSMEM5	162	182	YES	0	0	5	Cytoplasmic	0.191	0.437	NO
